Text,gold_ner,gold_re,wx_ner,gpt_re
至马忠为庲降督，乃自平夷移住建宁味县，后遂为宁州治所。门下督巴西马忠由牂柯入，击破诸县，复与亮合。,"{'人物': ['马忠', '马忠', '亮'], '职官': ['庲降督', '门下督'], '地点': ['平夷', '建宁', '味县', '宁州', '巴西', '牂柯']}","{'任职': [['马忠', '庲降督'], ['马忠', '门下督']], '到达': [['马忠', '味县'], ['马忠', '建宁']], '生于地点': [['马忠', '巴西']], '离开': [['马忠', '平夷']], '游历': [['马忠', '牂柯']], '治所': [['味县', '宁州']], '属地': [['味县', '建宁']], '政治奥援': [['马忠', '亮']]}","{'人物': ['马忠', '亮'], '地点': ['牂柯', '宁州', '巴西', '平夷', '建宁'], '职官': ['庲降督', '门下督']}","{'任职': [['马忠', '门下督'], ['马忠', '庲降督']], '生于地点': [['马忠', '巴西']]}"
二年春正月癸亥，诏赠沈焕﹑陆九龄官，焕谥端宪，九龄谥文达。,"{'时间': ['二年春正月癸亥'], '人物': ['沈焕', '陆九龄', '焕', '九龄'], '职官': ['端宪', '文达']}","{'任职': [['九龄', '文达'], ['焕', '端宪']]}","{'人物': ['焕', '沈焕', '陆九龄', '九龄'], '职官': ['端宪', '文达'], '时间': ['二年春正月癸亥']}","{'任职': [['焕', '端宪'], ['九龄', '文达']]}"
8诏以魏王操夫人卞氏为王后。,"{'人物': ['魏王操', '卞氏'], '职官': ['王后']}","{'任职': [['卞氏', '王后']], '夫妻': [['魏王操', '卞氏']]}","{'人物': ['卞氏', '魏王操'], '职官': ['王后']}","{'任职': [['卞氏', '王后']], '其他': [['魏王操', '卞氏']]}"
14益州牧刘璋闻曹操克荆州，遣别驾张松致敬于操。,"{'地点': ['益州', '荆州'], '职官': ['牧', '别驾'], '人物': ['刘璋', '曹操', '张松', '操']}","{'任职': [['刘璋', '牧'], ['张松', '别驾']], '攻伐': [['曹操', '荆州']], '管理': [['刘璋', '益州']], '派遣': [['刘璋', '张松']], '政治奥援': [['张松', '操'], ['刘璋', '操']]}","{'人物': ['刘璋', '曹操', '张松'], '地点': ['益州', '荆州'], '职官': ['牧', '别驾']}","{'管理': [['刘璋', '益州']], '派遣': [['刘璋', '张松']], '任职': [['刘璋', '牧'], ['张松', '别驾']], '攻伐': [['曹操', '荆州']]}"
李顺叛，普为西川行营先锋，与韩守英﹑马知节诛斩之。迁西京作坊使﹑钦州刺史。顺馀党复寇邛蜀，伪称邛南王。又为西川都提举捉贼使。,"{'人物': ['李顺', '普', '韩守英', '马知节', '顺'], '地点': ['西川', '西京', '钦州', '邛蜀', '西川'], '职官': ['行营先锋', '作坊使', '刺史', '邛南王', '都提举捉贼使']}","{'任职': [['普', '都提举捉贼使'], ['普', '行营先锋'], ['普', '刺史'], ['普', '作坊使'], ['顺', '邛南王']], '管理': [['普', '西川'], ['普', '钦州'], ['普', '西京'], ['普', '西川']], '攻伐': [['顺', '邛蜀']], '杀': [['普', '李顺'], ['韩守英', '李顺'], ['马知节', '李顺']]}","{'人物': ['顺', '马知节', '韩守英', '李顺', '普'], '地点': ['邛蜀', '钦州', '西京', '西川'], '职官': ['邛南王', '刺史', '都提举捉贼使', '作坊使', '行营先锋']}","{'任职': [['普', '行营先锋'], ['普', '作坊使'], ['普', '刺史'], ['普', '都提举捉贼使'], ['顺', '邛南王'], ['顺', '都提举捉贼使'], ['马知节', '作坊使'], ['马知节', '刺史'], ['普', '邛南王'], ['韩守英', '作坊使']], '管理': [['普', '西川'], ['普', '西京'], ['普', '西川'], ['普', '钦州'], ['顺', '西川'], ['顺', '西京'], ['马知节', '西京']], '攻伐': [['顺', '邛蜀']]}"
晃数陈渊之必反，非同逆者也；帝欲杀之以绝其类，刑之于市则无名，故欲就狱杀之。廷尉高柔上疏曰：「臣窃闻晃先数自归，陈渊祸萌，虽为凶族，原心可恕。,"{'人物': ['晃', '渊', '高柔', '晃', '渊'], '职官': ['廷尉']}","{'任职': [['高柔', '廷尉']], '其他': [['晃', '渊']]}","{'人物': ['晃', '高柔', '陈渊', '帝']}","{'任职': [['高柔', '廷尉']]}"
」王朗为会稽太守，为策所破。,"{'人物': ['王朗', '策'], '地点': ['会稽'], '职官': ['太守']}","{'任职': [['王朗', '太守']], '管理': [['王朗', '会稽']], '打败': [['策', '王朗']]}","{'人物': ['王朗', '策'], '职官': ['太守'], '地点': ['会稽']}","{'管理': [['王朗', '会稽']], '任职': [['王朗', '太守']], '打败': [['策', '王朗']]}"
孙权以番阳太守临淮步骘为交州刺史，姓谱：晋有步扬，食采于步，因氏焉。,"{'人物': ['孙权', '步骘', '步扬'], '地点': ['番阳', '临淮', '交州', '步'], '职官': ['太守', '刺史'], '书籍': ['姓谱'], '团体': ['晋']}","{'任职': [['步骘', '太守'], ['步骘', '刺史']], '管理': [['步骘', '交州'], ['步骘', '番阳']], '生于地点': [['步骘', '临淮']], '封': [['孙权', '步骘']], '隶属于': [['步扬', '晋']]}","{'人物': ['孙权', '步骘'], '地点': ['番阳', '交州', '临淮', '晋', '步'], '职官': ['刺史', '太守'], '书籍': ['姓谱']}","{'管理': [['步骘', '交州'], ['步骘', '番阳']], '任职': [['步骘', '刺史'], ['步骘', '太守']], '生于地点': [['步骘', '临淮']], '政治奥援': [['孙权', '步骘']]}"
初，袁尙遣从事安平牵招至上党督军粮，牵，姓；招，名。,"{'人物': ['袁尙', '牵招', '牵', '招'], '职官': ['从事'], '地点': ['安平', '上党']}","{'任职': [['牵招', '从事']], '到达': [['牵招', '上党']], '派遣': [['袁尙', '牵招']], '生于地点': [['牵招', '安平']]}","{'人物': ['牵', '袁尙', '招', '牵招'], '地点': ['上党', '安平']}","{'任职': [['牵招', '从事']], '派遣': [['袁尙', '牵招']], '生于地点': [['牵招', '安平']]}"
王粲、杜袭、衞觊、和洽为侍中，自是以后，侍中遂以四人为定员。锺繇为大理，大理，汉廷尉之职。,"{'人物': ['王粲', '杜袭', '衞觊', '和洽', '锺繇'], '职官': ['侍中', '大理', '大理', '廷尉'], '地点': ['汉']}","{'任职': [['锺繇', '大理'], ['和洽', '侍中'], ['衞觊', '侍中'], ['杜袭', '侍中'], ['王粲', '侍中']]}","{'人物': ['王粲', '杜袭', '衞觊', '和洽', '锺繇'], '职官': ['侍中', '大理', '廷尉'], '地点': ['汉']}","{'任职': [['和洽', '侍中'], ['锺繇', '大理'], ['杜袭', '侍中'], ['衞觊', '侍中'], ['王粲', '侍中']]}"
4壬戌，以太中大夫贾诩为太尉，御史大夫华歆为相国，大理王朗为御史大夫。,"{'时间': ['壬戌'], '职官': ['太中大夫', '太尉', '御史大夫', '相国', '大理', '御史大夫'], '人物': ['贾诩', '华歆', '王朗']}","{'任职': [['王朗', '大理'], ['华歆', '御史大夫'], ['贾诩', '太中大夫'], ['贾诩', '太尉'], ['王朗', '御史大夫'], ['华歆', '相国']]}","{'人物': ['华歆', '贾诩', '王朗'], '职官': ['太尉', '相国', '御史大夫', '太中大夫', '大理', '御史大夫', '大理王朗'], '时间': ['壬戌']}","{'任职': [['华歆', '相国'], ['贾诩', '太尉'], ['王朗', '御史大夫'], ['贾诩', '太中大夫'], ['华歆', '御史大夫'], ['王朗', '大理'], ['大理王朗', '御史大夫']]}"
庚戌葛洪资政殿学士﹑知绍兴府。,"{'时间': ['庚戌'], '人物': ['葛洪'], '职官': ['资政殿学士', '知绍兴府']}","{'任职': [['葛洪', '知绍兴府'], ['葛洪', '资政殿学士']]}","{'人物': ['葛洪'], '职官': ['资政殿学士', '知绍兴府'], '时间': ['庚戌']}","{'任职': [['葛洪', '资政殿学士'], ['葛洪', '知绍兴府']]}"
五迁至供备库使，领恩州团练使﹑眞定路兵马钤辖，历知莫﹑贝﹑瀛三州。转运使张昷之奏罢冀﹑贝骁捷军士上关银﹑鞵钱，事下孜议，孜言：“此界河策先锋兵，有战必先登，故平时赐予异诸军，不可罢。,"{'职官': ['供备库使', '团练使', '兵马钤辖', '知', '转运使'], '地点': ['恩州', '眞定路', '莫', '贝', '瀛', '冀', '贝', '界河'], '人物': ['张昷之', '孜', '孜']}","{'任职': [['张昷之', '转运使']]}","{'人物': ['张昷之', '孜'], '职官': ['供备库使', '转运使', '团练使', '兵马钤辖'], '地点': ['贝', '瀛', '莫', '恩州', '眞定路', '冀', '河']}","{'任职': [['张昷之', '转运使']]}"
是日几乱，孜策马从数卒往谕之，皆散还营。迁济州防御使﹑侍衞马军都虞候，又迁殿前都虞候，加桂州管内观察使，迁侍衞步军副都指挥使。,"{'时间': ['是日'], '人物': ['孜'], '地点': ['济州'], '职官': ['防御使', '侍衞马军都虞候', '殿前都虞候', '加桂州管内观察使', '侍衞步军副都指挥使']}","{'任职': [['孜', '殿前都虞候'], ['孜', '侍衞步军副都指挥使'], ['孜', '防御使'], ['孜', '侍衞马军都虞候'], ['孜', '加桂州管内观察使']], '管理': [['孜', '济州']]}","{'人物': ['孜', '孜策'], '职官': ['侍衞步军副都指挥使', '殿前都虞候', '侍衞马军都虞候', '防御使', '管内观察使'], '地点': ['济州', '桂州']}","{'任职': [['孜', '防御使'], ['孜', '殿前都虞候'], ['孜', '侍衞马军都虞候'], ['孜', '侍衞步军副都指挥使'], ['孜', '管内观察使'], ['孜策', '防御使'], ['孜策', '侍衞马军都虞候'], ['孜策', '殿前都虞候'], ['孜策', '管内观察使'], ['孜策', '侍衞步军副都指挥使'], ['孜', '孜策']], '管理': [['孜', '济州'], ['孜', '桂州'], ['孜策', '桂州'], ['孜', '孜策'], ['孜策', '济州']]}"
擢敷文阁直学士，移知明州﹑沿海制置使。台谏王十朋﹑王大宝抗疏留之，帝曰：“朕委以防海，行召还矣。,"{'职官': ['敷文阁直学士', '知明州', '沿海制置使', '台谏'], '人物': ['王十朋', '王大宝']}","{'任职': [['王大宝', '台谏'], ['王十朋', '台谏']]}","{'职官': ['敷文阁直学士', '知明州', '沿海制置使', '台谏'], '人物': ['王十朋', '王大宝']}","{'任职': [['王大宝', '台谏']], '派遣': [['王十朋', '知明州']]}"
按范书：郭躬，章帝元和三年拜廷尉，和帝永元六年卒，不及安帝时。,"{'人物': ['范', '郭躬', '安帝'], '书籍': ['书'], '时间': ['章帝元和三年', '和帝永元六年'], '职官': ['廷尉']}","{'任职': [['郭躬', '廷尉']], '作者': [['范', '书']], '死于时间': [['郭躬', '和帝永元六年']]}","{'人物': ['郭躬', '章帝', '安帝'], '职官': ['廷尉'], '时间': ['章帝元和三年', '和帝永元六年'], '书籍': ['范书']}","{'任职': [['郭躬', '廷尉']], '其他': [['郭躬', '章帝元和三年'], ['郭躬', '和帝永元六年']]}"
淮退，亮遂拔二郡以归；汉主复策拜亮为丞相。,"{'地点': ['淮'], '人物': ['亮', '汉主', '亮'], '职官': ['丞相']}","{'任职': [['亮', '丞相']], '封': [['汉主', '亮']]}","{'人物': ['亮', '汉主', '淮'], '职官': ['丞相'], '地点': ['二郡']}","{'任职': [['亮', '丞相']], '到达': [], '派遣': [['汉主', '亮']], '封': [['汉主', '亮']]}"
「将军拜太子，丕为五官将，故称之为将军。,"{'人物': ['将军', '丕', '将军'], '职官': ['太子', '五官将']}","{'任职': [['丕', '五官将'], ['将军', '太子']]}","{'人物': ['丕'], '职官': ['五官将', '太子', '将军']}","{'任职': [['丕', '五官将'], ['丕', '将军']]}"
以丞相长史蒋琬为令，总统国事，寻加琬行都护，假节，领益州刺史。,"{'职官': ['丞相长史', '令', '都护', '刺史'], '人物': ['蒋琬', '琬'], '地点': ['益州']}","{'任职': [['蒋琬', '丞相长史'], ['蒋琬', '令'], ['琬', '都护'], ['琬', '刺史']], '管理': [['琬', '益州']]}","{'人物': ['蒋琬', '琬'], '职官': ['丞相长史', '都护', '令', '刺史', '假节', '行都护'], '地点': ['益州']}","{'任职': [['琬', '都护'], ['琬', '刺史'], ['蒋琬', '丞相长史'], ['蒋琬', '令'], ['琬', '行都护'], ['琬', '假节']], '管理': [['琬', '益州']]}"
按繁钦征天山赋云：「建安十四年十二月甲辰，丞相武平侯曹公东征，临川未济，羣舒蠢动，割有灊、六，乃俾上将荡寇将军张辽治兵南岳之阳。,"{'人物': ['繁钦', '武平侯曹公', '张辽'], '书籍': ['征天山赋'], '时间': ['建安十四年十二月甲辰'], '职官': ['丞相', '荡寇将军'], '团体': ['羣舒'], '地点': ['灊', '六', '南岳']}","{'任职': [['张辽', '荡寇将军'], ['武平侯曹公', '丞相']], '作者': [['繁钦', '征天山赋']], '派遣': [['羣舒', '张辽']], '攻伐': [['张辽', '南岳']]}","{'人物': ['繁钦', '张辽', '曹公', '上将'], '地点': ['灊', '六', '南岳', '临川'], '时间': ['建安十四年十二月甲辰'], '职官': ['荡寇将军', '丞相', '丞相武平侯'], '书籍': ['天山赋']}","{'任职': [['张辽', '荡寇将军'], ['曹公', '丞相武平侯'], ['曹公', '丞相'], ['上将', '荡寇将军']]}"
己未，以魏了翁为华文阁待制﹑知泸州﹑潼川安抚使，赐金带。,"{'时间': ['己未'], '人物': ['魏了翁'], '职官': ['华文阁待制', '知泸州', '安抚使'], '地点': ['潼川']}","{'任职': [['魏了翁', '安抚使'], ['魏了翁', '知泸州'], ['魏了翁', '华文阁待制']], '管理': [['魏了翁', '潼川']]}","{'人物': ['魏了翁'], '职官': ['华文阁待制', '知泸州', '安抚使'], '时间': ['己未'], '地点': ['潼川']}","{'任职': [['魏了翁', '华文阁待制'], ['魏了翁', '知泸州'], ['魏了翁', '安抚使']], '管理': [['魏了翁', '潼川']]}"
17初，右仆射衞臻典选举，中护军蒋济遗臻书曰：蒋济已自中护军迁护军将军，此复书中护军，盖先时事也。,"{'职官': ['右仆射', '中护军', '中护军', '护军将军', '中护军'], '人物': ['衞臻', '蒋济', '臻', '蒋济']}","{'任职': [['衞臻', '右仆射'], ['蒋济', '中护军'], ['蒋济', '中护军'], ['蒋济', '护军将军']], '交谈': [['蒋济', '臻']]}","{'人物': ['蒋济', '衞臻', '蒋济', '臻'], '职官': ['护军将军', '右仆射', '中护军', '中护军']}","{'任职': [['蒋济', '中护军']], '旧臣': [['蒋济', '臻']], '设置': [['衞臻', '右仆射']]}"
太夫人问扬武都尉会稽董袭曰：「江东可保不？」不，读曰否。,"{'人物': ['太夫人', '董袭'], '职官': ['扬武都尉'], '地点': ['会稽', '江']}","{'任职': [['董袭', '扬武都尉']], '生于地点': [['董袭', '会稽']], '交谈': [['太夫人', '董袭']]}","{'人物': ['太夫人', '董袭'], '地点': ['江东', '会稽'], '职官': ['扬武都尉']}","{'生于地点': [['董袭', '会稽']], '任职': [['董袭', '扬武都尉']]}"
初，金主亮在寿春，江﹑淮制置使刘锜命权将兵迎敌，权怯懦不进，锜督战益急，权不得已守庐州，及金兵渡淮，权遣兴拒之，而退保和州。,"{'团体': ['金', '金'], '人物': ['亮', '刘锜', '权', '权', '锜', '权', '权', '兴'], '地点': ['寿春', '江', '淮', '庐州', '淮', '和州'], '职官': ['制置使']}","{'任职': [['刘锜', '制置使']], '管理': [['刘锜', '江'], ['刘锜', '淮']], '位于': [['权', '庐州'], ['亮', '寿春']], '派遣': [['权', '兴'], ['刘锜', '权']]}","{'人物': ['权', '兴', '刘锜', '金主亮'], '地点': ['寿春', '庐州', '淮', '和州'], '团体': ['金'], '职官': ['制置使'], '时间': []}","{'派遣': [['权', '兴'], ['刘锜', '权']], '任职': [['刘锜', '制置使']], '位于': [['权', '庐州'], ['主亮', '寿春'], ['金主亮', '寿春']], '管理': [['刘锜', '淮'], ['刘锜', '江']]}"
浮桥屡以水败，彦倓梁以石，民免溺死。陞临安府通判。,"{'人物': ['彦倓'], '地点': ['临安府'], '职官': ['通判']}","{'任职': [['彦倓', '通判']], '管理': [['彦倓', '临安府']]}","{'人物': [['彦倓', 1.0]], '地点': [['浮桥', 0.9999], ['临安府', 0.9998]], '职官': [['通判', 0.9998]]}","{'任职': [['彦倓', '通判']], '管理': [['彦倓', '临安府']]}"
亮美维胆智，辟为仓曹掾，续汉志：丞相仓曹掾，主仓谷事。,"{'人物': ['亮', '维'], '职官': ['仓曹掾', '丞相仓曹掾'], '书籍': ['续汉志']}","{'任职': [['维', '仓曹掾']], '政治奥援': [['亮', '维']]}","{'人物': ['亮', '维'], '书籍': ['续汉志'], '职官': ['仓曹掾', '丞相仓曹掾']}","{'任职': [['亮', '仓曹掾']], '设置': [['亮', '仓曹掾']], '属地': [['亮', '仓曹掾']], '管理': [['亮', '仓曹掾']], '位于': [['亮', '仓曹掾']]}"
绍圣初，哲宗亲政，润甫首陈武王能广文王之声，成王能嗣文﹑武之道，以开绍述。遂拜尙书左丞。,"{'时间': ['绍圣'], '人物': ['哲宗', '润甫', '武王', '文王', '成王', '文', '武'], '职官': ['尙书左丞']}","{'任职': [['润甫', '尙书左丞'], ['润甫', '尙书左丞']]}","{'人物': ['润甫', '成王', '武王', '哲宗', '文王'], '职官': ['尙书左丞'], '时间': ['绍圣']}","{'任职': [['润甫', '尙书左丞'], ['成王', '尙书左丞']]}"
